date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2022-07-18,SELL,MAFANG.NS,9609,41.02,394161.18000000005,197.08059000000003,393981.51693499985,41.79,-1.843
2022-07-18,BUY,CONSUMBEES.NS,4955,79.46,393724.3,196.86214999999999,60.35478499985766,,
2022-08-16,SELL,CONSUMBEES.NS,4955,84.87,420530.85000000003,210.26542500000002,420380.9393599999,79.46,6.808
2022-08-16,BUY,MOM100.NS,12659,33.19,420152.20999999996,210.07610499999998,18.653254999953788,,
2022-08-22,SELL,MOM100.NS,12659,32.29,408759.11,204.379555,408573.38369999995,33.19,-2.712
2022-08-22,SELL,PSUBNKBEES.NS,14006,30.93,433205.58,216.60279,841562.36091,27.52,12.391
2022-08-22,BUY,JUNIORBEES.NS,940,447.21,420377.39999999997,210.18869999999998,420974.7722100001,,
2022-08-22,BUY,BANKBEES.NS,1085,387.38,420307.3,210.15365,457.31856000010157,,
2022-08-29,SELL,BANKBEES.NS,1085,387.78,420741.3,210.37065,420988.2479100001,387.38,0.103
2022-08-29,SELL,JUNIORBEES.NS,940,452.93,425754.2,212.8771,846529.5708100002,447.21,1.279
2022-08-29,BUY,PSUBNKBEES.NS,13009,32.52,423052.68000000005,211.52634000000003,423265.36447000015,,
2022-08-29,BUY,CPSEETF.NS,11584,36.52,423047.68000000005,211.52384000000004,6.160630000114907,,
2022-09-05,SELL,PSUBNKBEES.NS,13009,33.7,438403.30000000005,219.20165000000003,438190.25898000016,32.52,3.629
2022-09-05,BUY,MOM100.NS,13093,33.45,437960.85000000003,218.98042500000003,10.428555000107735,,
2022-09-12,SELL,MOM100.NS,13093,34.37,450006.41,225.00320499999998,449791.83535000007,33.45,2.75
2022-09-12,BUY,PSUBNKBEES.NS,12764,35.22,449548.07999999996,224.77403999999999,18.981310000119265,,
2022-09-26,SELL,CPSEETF.NS,11584,34.55,400227.19999999995,200.1136,400046.0677100001,36.52,-5.394
2022-09-26,BUY,JUNIORBEES.NS,893,447.52,399635.36,199.81768,210.890030000126,,
2022-10-03,SELL,JUNIORBEES.NS,893,438.54,391616.22000000003,195.80811000000003,391631.3019200002,447.52,-2.007
2022-10-03,BUY,CONSUMBEES.NS,4641,84.33,391375.52999999997,195.68776499999998,60.08415500022238,,
2022-10-10,SELL,CONSUMBEES.NS,4641,84.73,393231.93,196.615965,393095.3981900002,84.33,0.474
2022-10-10,BUY,SILVERBEES.NS,6745,58.25,392896.25,196.448125,2.7000650002155453,,
2022-10-17,SELL,SILVERBEES.NS,6745,55.52,374482.4,187.24120000000002,374297.85886500025,58.25,-4.687
2022-10-17,BUY,PHARMABEES.NS,28536,13.11,374106.95999999996,187.05347999999998,3.8453850002842955,,
2022-10-24,SELL,PHARMABEES.NS,28536,13.43,383238.48,191.61924,383050.70614500024,13.11,2.441
2022-10-24,BUY,SILVERBEES.NS,6725,56.93,382854.25,191.42712500000002,5.029020000249147,,
2022-11-07,SELL,SILVERBEES.NS,6725,59.97,403298.25,201.649125,403101.62989500025,56.93,5.34
2022-11-07,BUY,PHARMABEES.NS,30112,13.38,402898.56,201.44928000000002,1.6206150002544746,,
2022-11-14,SELL,PHARMABEES.NS,30112,13.16,396273.92,198.13696,396077.40365500026,13.38,-1.644
2022-11-14,BUY,SILVERBEES.NS,6473,61.15,395823.95,197.911975,55.54168000025675,,
2022-11-28,SELL,SILVERBEES.NS,6473,61.44,397701.12,198.85056,397557.81112000026,61.15,0.474
2022-11-28,BUY,ITBEES.NS,12578,31.59,397339.02,198.66951,20.1216100002639,,
2022-12-12,SELL,ITBEES.NS,12578,30.27,380736.06,190.36803,380565.81358000025,31.59,-4.179
2022-12-12,BUY,SILVERBEES.NS,5753,66.11,380330.83,190.16541500000002,44.81816500023706,,
2022-12-19,SELL,SILVERBEES.NS,5753,66.12,380388.36000000004,190.19418000000002,380242.9839850003,66.11,0.015
2022-12-19,BUY,HNGSNGBEES.NS,1366,278.14,379939.24,189.96962,113.77436500031035,,
2022-12-26,SELL,PSUBNKBEES.NS,12764,46.44,592760.1599999999,296.38007999999996,592577.5542850002,35.22,31.857
2022-12-26,BUY,SILVERBEES.NS,8877,66.72,592273.44,296.13671999999997,7.977565000299364,,
2023-01-02,SELL,SILVERBEES.NS,8877,67.67,600706.59,300.353295,600414.2142700002,66.72,1.424
2023-01-02,BUY,PSUBNKBEES.NS,12440,48.24,600105.6,300.0528,8.561470000306144,,
2023-01-16,SELL,PSUBNKBEES.NS,12440,48.19,599483.6,299.7418,599192.4196700003,48.24,-0.104
2023-01-16,BUY,SILVERBEES.NS,8773,68.26,598844.9800000001,299.42249000000004,48.017180000199005,,
2023-01-23,SELL,SILVERBEES.NS,8773,67.52,592352.96,296.17647999999997,592104.8007000001,68.26,-1.084
2023-01-23,BUY,GOLDBEES.NS,12134,48.77,591775.18,295.88759000000005,33.73311000003014,,
2023-02-06,SELL,GOLDBEES.NS,12134,49.04,595051.36,297.52568,594787.56743,48.77,0.554
2023-02-06,BUY,MAFANG.NS,12757,46.6,594476.2000000001,297.23810000000003,14.12933000002522,,
2023-02-20,SELL,HNGSNGBEES.NS,1366,297.52,406412.31999999995,203.20615999999998,406223.24317,278.14,6.968
2023-02-20,BUY,MON100.NS,4059,100.02,405981.18,202.99059,39.07257999997819,,
2023-03-13,SELL,MON100.NS,4059,95.6,388040.39999999997,194.0202,387885.4523799999,100.02,-4.419
2023-03-13,BUY,CPSEETF.NS,9675,40.07,387677.25,193.838625,14.363754999940284,,
2023-03-20,SELL,CPSEETF.NS,9675,39.7,384097.5,192.04875,383919.8150049999,40.07,-0.923
2023-03-20,BUY,MON100.NS,3817,100.52,383684.83999999997,191.84241999999998,43.132584999955725,,
2023-03-27,SELL,MON100.NS,3817,102.35,390669.94999999995,195.334975,390517.7476099999,100.52,1.821
2023-03-27,BUY,CPSEETF.NS,10117,38.58,390313.86,195.15693,8.73067999992054,,
2023-04-03,SELL,MAFANG.NS,12757,50.48,643973.36,321.98668,643660.1039999999,46.6,8.326
2023-04-03,BUY,SILVERBEES.NS,9139,70.39,643294.21,321.647105,44.24689499998931,,
2023-04-10,SELL,CPSEETF.NS,10117,40.58,410547.86,205.27393,410386.83296499995,38.58,5.184
2023-04-10,BUY,MAFANG.NS,8355,49.09,410146.95,205.073475,34.809489999955986,,
2023-04-17,SELL,MAFANG.NS,8355,49.01,409478.55,204.739275,409308.62021499994,49.09,-0.163
2023-04-17,BUY,GOLDBEES.NS,7913,51.7,409102.10000000003,204.55105000000003,1.9691649999003857,,
2023-04-24,SELL,GOLDBEES.NS,7913,51.26,405620.38,202.81019,405419.5389749999,51.7,-0.851
2023-04-24,BUY,MAFANG.NS,8373,48.39,405169.47000000003,202.58473500000002,47.484239999903366,,
2023-05-15,SELL,SILVERBEES.NS,9139,71.83,656454.37,328.227185,656173.6270549999,70.39,2.046
2023-05-15,BUY,AUTOBEES.NS,4629,141.66,655744.14,327.87207,101.61498499987647,,
2023-06-19,SELL,AUTOBEES.NS,4629,148.15,685786.35,342.893175,685545.0718099999,141.66,4.581
